"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P03","jar2","BOOKLET","Step 54",00:17:42.8,00:18:12.7,29.9000000953674,"APP_FIRST",4,"S54","low"
"P03","jar2","BOOKLET","Step 55",00:18:14.0,00:18:30.9,16.9000000953674,"APP_FIRST",3,"S55","low"
"P03","jar2","BOOKLET","Step 56",00:18:30.9,00:19:27.5,56.5999999046326,"APP_FIRST",6,"S56","medium"
"P03","jar2","BOOKLET","Step 58",00:19:28.8,00:19:37.0,8.20000004768372,"APP_FIRST",3,"S58","low"
"P03","jar2","BOOKLET","Step 57",00:19:37.2,00:19:48.6,11.3999998569489,"APP_FIRST",3,"S57","low"
"P03","jar2","BOOKLET","Step 58",00:19:48.6,00:19:55.8,7.20000004768372,"APP_FIRST",3,"S58","low"
"P04","jar1","APP","Step 1",00:00:27.6,00:00:28.5,0.900000095367432,"APP_FIRST",2,"S01","low"
"P04","jar1","APP","Step 0A",00:00:28.7,00:01:45.1,76.3999998569489,"APP_FIRST",NA,NA,NA
"P04","jar1","APP","Step 2",00:01:50.4,00:02:17.4,27,"APP_FIRST",5,"S02","medium"
"P04","jar1","APP","Step 3",00:02:17.4,00:02:29.5,12.0999999046326,"APP_FIRST",2,"S03","low"
"P04","jar1","APP","Step 4",00:02:29.5,00:03:04.6,35.0999999046326,"APP_FIRST",5,"S04","medium"
"P04","jar1","APP","Step 5",00:03:04.6,00:03:31.7,27.1000001430511,"APP_FIRST",5,"S05","medium"
"P04","jar1","APP","Step 6",00:03:31.7,00:03:37.9,6.20000004768372,"APP_FIRST",2,"S06","low"
"P04","jar1","APP","Step 7",00:03:37.9,00:03:46.9,9,"APP_FIRST",3,"S07","low"
"P04","jar1","APP","Step 8",00:03:46.9,00:03:57.8,10.8999998569489,"APP_FIRST",2,"S08","low"
"P04","jar1","APP","Step 9",00:03:57.8,00:04:20.5,22.7000000476837,"APP_FIRST",4,"S09","low"
"P04","jar1","APP","Step 10",00:04:20.5,00:04:35.6,15.0999999046326,"APP_FIRST",5,"S10","medium"
"P04","jar1","APP","Step 11",00:04:35.6,00:04:55.0,19.4000000953674,"APP_FIRST",3,"S11","low"
"P04","jar1","APP","Step 12",00:04:55.0,00:05:07.0,12,"APP_FIRST",2,"S12","low"
"P04","jar1","APP","Step 13",00:05:07.0,00:05:19.8,12.7999999523163,"APP_FIRST",3,"S13","low"
"P04","jar1","APP","Step 14",00:05:19.8,00:05:46.8,27,"APP_FIRST",5,"S14","medium"
"P04","jar1","APP","Step 15",00:05:46.8,00:06:42.1,55.2999999523163,"APP_FIRST",7,"S15","medium"
